"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\EventHandler.cpp", "C++", 127, 8, 21, 156
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\EventHandler.h", "C++", 37, 0, 18, 55
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\Animator.cpp", "C++", 81, 13, 30, 124
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\Animator.h", "C++", 60, 2, 23, 85
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\FlowText.cpp", "C++", 69, 7, 17, 93
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\FlowText.h", "C++", 24, 0, 9, 33
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\GUI.cpp", "C++", 241, 26, 69, 336
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\GUI.h", "C++", 47, 5, 17, 69
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\GUIObject.h", "C++", 17, 0, 9, 26
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\Label.cpp", "C++", 29, 4, 9, 42
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\Menu.cpp", "C++", 190, 24, 67, 281
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\Menu.h", "C++", 64, 2, 37, 103
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\PointerToLabel.cpp", "C++", 42, 4, 11, 57
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\SpecialEffects.cpp", "C++", 71, 3, 20, 94
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GUIClasses\SpecialEffects.h", "C++", 31, 0, 13, 44
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\Barse.cpp", "C++", 36, 1, 8, 45
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\Block.cpp", "C++", 64, 6, 19, 89
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\Block.h", "C++", 37, 2, 20, 59
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\Blocks.h", "C++", 8, 0, 4, 12
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\FieryBlock.cpp", "C++", 29, 3, 10, 42
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\FieryBlock.h", "C++", 24, 0, 15, 39
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\MoveableBlock.cpp", "C++", 107, 5, 30, 142
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\MoveableBlock.h", "C++", 24, 0, 12, 36
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\MysterBox.cpp", "C++", 98, 7, 31, 136
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\MysterBox.h", "C++", 46, 0, 23, 69
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\Pipe.cpp", "C++", 12, 1, 4, 17
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\Pipe.h", "C++", 49, 0, 22, 71
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\SpecialPipe.cpp", "C++", 220, 36, 77, 333
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Blocks\SpecialPipe.h", "C++", 50, 4, 30, 84
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\ArmedTurtle.cpp", "C++", 224, 32, 65, 321
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\ArmedTurtle.h", "C++", 54, 1, 25, 80
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\ArmoredTurtle.cpp", "C++", 31, 3, 12, 46
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\Bowser.cpp", "C++", 477, 52, 158, 687
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\Bowser.h", "C++", 135, 9, 56, 200
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\CreatorRedTurtles.cpp", "C++", 200, 18, 45, 263
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\Enemies.h", "C++", 106, 5, 48, 159
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\Flower.cpp", "C++", 98, 6, 26, 130
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\FlyingTurtle.cpp", "C++", 81, 5, 22, 108
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\Goombas.cpp", "C++", 63, 3, 18, 84
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\RedTurtle.cpp", "C++", 41, 4, 15, 60
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Enemies\Turtle.cpp", "C++", 91, 8, 27, 126
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\GameObject.cpp", "C++", 146, 16, 34, 196
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\GameObject.h", "C++", 82, 4, 30, 116
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Items\Coin.cpp", "C++", 65, 6, 21, 92
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Items\Coin.h", "C++", 20, 0, 11, 31
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Items\FireballBullets.cpp", "C++", 132, 10, 43, 185
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Items\FireballBullets.h", "C++", 51, 3, 31, 85
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Items\Gun.cpp", "C++", 20, 2, 7, 29
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Items\Gun.h", "C++", 31, 0, 21, 52
"c:\Users\micha\Desktop\Projekty gier C++\Mario vs\Mario vs\Src\Classes\GameClasses\Items\GunBullet.cpp", "C++", 69, 3, 21, 93
